City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Saint-Augustin,CA,51.226,-58.6502,54.25,72,84,4.23,broken clouds
149,Ribeira Grande,PT,38.5167,-28.7,75.34,91,100,20.15,moderate rain
150,Strezhevoy,RU,60.7333,77.5889,42.69,95,100,18.23,overcast clouds
151,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,6.91,scattered clouds
152,Krasnoselkup,RU,65.7,82.4667,35.2,93,100,19.22,light snow
153,Lazaro Cardenas,MX,17.9583,-102.2,83.26,74,56,7.43,broken clouds
154,Chapais,CA,49.7834,-74.8492,64.18,64,100,4.88,overcast clouds
155,Ponta Do Sol,PT,32.6667,-17.1,72.72,78,6,3.96,clear sky
156,Diffa,NE,13.3154,12.6113,81.95,67,82,4.94,broken clouds
157,Puerto Ayora,EC,-0.7393,-90.3518,68.56,92,99,8.99,overcast clouds
158,Belaya Kholunitsa,RU,58.84,50.8528,44.58,98,100,1.48,overcast clouds
159,Alta Floresta,BR,-9.8756,-56.0861,82.8,43,64,3.13,broken clouds
160,Newport,GB,51.5877,-2.9984,61.45,85,88,9.28,overcast clouds
161,Emirdag,TR,39.0197,31.15,55.09,53,0,2.84,clear sky
162,Jidong,CN,45.2167,131.0833,70.81,56,1,11.88,clear sky
163,Nha Trang,VN,12.25,109.1833,75.2,88,100,3.4,overcast clouds
164,Cabedelo,BR,-6.9811,-34.8339,72.27,78,7,15.93,clear sky
165,Elizabeth City,US,36.2946,-76.2511,79.02,81,0,17.27,clear sky
166,Cardston,CA,49.2,-113.3019,86.29,16,32,11.5,scattered clouds
167,Saurimo,AO,-9.6608,20.3916,71.02,33,47,4.03,scattered clouds
168,Kamenka,RU,51.3223,42.7678,45.59,52,100,8.59,overcast clouds
169,Nenjiang,CN,49.1833,125.2167,63.72,50,76,7.49,broken clouds
170,Atambua,ID,-9.1061,124.8925,80.47,43,79,2.21,broken clouds
171,Vaxjo,SE,56.8777,14.8091,51.85,93,0,6.91,clear sky
172,Fort Nelson,CA,58.8053,-122.7002,58.59,63,75,6.91,broken clouds
173,Bambanglipuro,ID,-7.95,110.2833,77.49,85,94,4.97,overcast clouds
174,Yumen,CN,40.2833,97.2,68.58,14,0,2.98,clear sky
175,Geraldton,AU,-28.7667,114.6,52.21,93,89,6.91,overcast clouds
176,Naberera,TZ,-4.2,36.9333,57.11,76,55,5.46,broken clouds
177,Benguela,AO,-12.5763,13.4055,70.23,89,79,4.03,broken clouds
178,Husavik,IS,66.0449,-17.3389,49.89,89,63,1.81,broken clouds
179,Cidreira,BR,-30.1811,-50.2056,60.67,94,18,9.04,few clouds
180,Gerash,IR,27.6652,54.1371,80.64,50,0,2.91,clear sky
181,Carnarvon,AU,-24.8667,113.6333,63.39,46,98,9.93,overcast clouds
182,Kuching,MY,1.55,110.3333,75.42,94,40,5.99,scattered clouds
183,Mutis,CO,6.2262,-77.4044,78.26,88,75,5.66,light rain
184,Zhuanghe,CN,39.7008,122.9911,69.42,77,0,5.39,clear sky
185,Aswan,EG,24.0934,32.907,83.89,37,0,10.11,clear sky
186,Karratha,AU,-20.7377,116.8463,69.39,47,1,5.37,clear sky
187,Usinsk,RU,65.9939,57.5281,32.45,92,54,8.59,broken clouds
188,Chuy,UY,-33.6971,-53.4616,57.97,93,22,6.02,few clouds
189,Clifton,US,40.8584,-74.1638,72.82,81,100,9.22,overcast clouds
190,Faya,SA,18.3851,42.4509,71.71,30,43,6.2,scattered clouds
191,Excelsior Springs,US,39.3392,-94.2261,84.9,44,0,5.75,clear sky
192,Pombas,CV,17.1503,-25.0201,76.78,84,39,9.48,scattered clouds
193,Aquiraz,BR,-3.9014,-38.3911,79.18,80,1,12.17,clear sky
194,Sistranda,NO,63.7256,8.834,49.96,68,30,5.26,scattered clouds
195,Tocopilla,CL,-22.092,-70.1979,59.22,67,21,7.11,few clouds
196,Hoquiam,US,46.9809,-123.8893,75.36,62,0,17.27,clear sky
197,Nichinan,JP,31.6,131.3667,76.68,68,95,8.01,overcast clouds
198,Houma,US,29.5958,-90.7195,82.99,83,0,4.61,clear sky
199,Saint George,US,37.1041,-113.5841,106.39,17,0,8.05,clear sky
200,Pangoa,PE,-12.1167,-73.0,74.43,58,66,3.13,broken clouds
201,Srandakan,ID,-7.9386,110.2506,77.54,85,95,4.97,overcast clouds
202,Ruteng,ID,-8.6136,120.4721,67.23,77,35,1.77,scattered clouds
203,Poplar Bluff,US,36.757,-90.3929,83.98,59,0,6.91,clear sky
204,Mahon,ES,39.8885,4.2658,79.36,83,20,6.91,few clouds
205,Mbala,ZM,-8.8402,31.3659,59.04,59,3,13.06,clear sky
206,Clarksdale,US,34.2001,-90.5709,85.98,58,0,11.5,clear sky
207,Xinmin,CN,41.9908,122.8253,67.51,67,0,10.78,clear sky
208,Atar,MR,20.5169,-13.0499,95.85,19,4,8.77,clear sky
209,Limoges,FR,45.75,1.3333,57.76,94,20,5.75,few clouds
210,Marrakesh,MA,31.6315,-8.0083,77.07,47,0,8.05,clear sky
211,Port Lincoln,AU,-34.7333,135.8667,53.6,91,86,20.69,overcast clouds
212,Palmerston,AU,-12.486,130.9833,85.93,69,20,4.61,few clouds
213,Batagay-Alyta,RU,67.8006,130.4114,43.09,61,100,11.52,overcast clouds
214,Clyde River,CA,70.4692,-68.5914,35.83,100,100,17.27,overcast clouds
215,Juneau,US,58.3019,-134.4197,60.98,99,100,6.91,overcast clouds
216,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,4.61,broken clouds
217,Bolshaya Rechka,RU,51.9503,104.7355,55.67,74,51,5.35,broken clouds
218,Grande Prairie,CA,55.1667,-118.8027,62.78,36,40,25.32,scattered clouds
219,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,88,75,13.24,light intensity shower rain
220,Honghu,CN,29.8206,113.4621,80.33,52,100,7.09,overcast clouds
221,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
222,Akdepe,TM,42.0551,59.3788,60.89,32,91,14.67,overcast clouds
223,Diapaga,BF,12.0708,1.7889,71.19,90,100,0.65,overcast clouds
224,Kalmunai,LK,7.4167,81.8167,79.88,76,100,2.71,overcast clouds
225,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,69.37,71,100,5.99,overcast clouds
226,High Rock,BS,26.6208,-78.2833,86.02,69,9,6.82,clear sky
227,Davila,PH,18.4726,120.5763,78.78,76,21,11.14,few clouds
228,Kanina,CD,-10.7341,25.4699,62.08,35,3,6.55,clear sky
229,Ixtapa,MX,20.7,-105.2,88.83,66,100,6.91,overcast clouds
230,Tasiilaq,GL,65.6145,-37.6368,42.96,99,100,3.18,light rain
231,Alihe,CN,50.5667,123.7167,58.53,61,5,3.56,clear sky
232,Tanete,ID,-3.9443,119.7848,79.57,81,99,6.69,overcast clouds
233,Port Hardy,CA,50.6996,-127.4199,62.78,67,40,12.66,scattered clouds
234,Lasa,IT,46.6166,10.7002,65.28,96,96,5.19,light rain
235,Sao Filipe,CV,14.8961,-24.4956,78.58,89,74,14.56,broken clouds
236,Znamenskoye,RU,57.1281,73.8282,44.2,93,100,10.49,overcast clouds
237,Damietta,EG,31.4165,31.8133,80.49,81,1,6.82,clear sky
238,Jining,CN,35.405,116.5814,70.63,70,72,4.32,broken clouds
239,Balti,MD,47.7617,27.9289,58.03,69,24,5.66,few clouds
240,Teguldet,RU,57.3064,88.1667,48.92,63,29,18.59,scattered clouds
241,Ranong,TH,9.9658,98.6348,73.33,89,100,13.38,light rain
242,Petushki,RU,55.9264,39.461,44.42,94,100,6.15,overcast clouds
243,Turukhansk,RU,65.8167,87.9833,39.24,88,100,15.77,light rain
244,Sandwick,GB,60.0,-1.25,57.02,94,100,18.41,overcast clouds
245,Inhambane,MZ,-23.865,35.3833,70.14,61,100,7.27,overcast clouds
246,Butembo,CD,0.15,29.2833,56.79,90,83,3.09,broken clouds
247,Portland,US,45.5234,-122.6762,84.99,46,40,18.41,scattered clouds
248,Rubio,VE,7.7013,-72.3557,81.45,91,49,4.03,scattered clouds
249,Erenhot,CN,43.6475,111.9767,69.19,26,0,10.6,clear sky
250,Constitucion,CL,-35.3333,-72.4167,47.52,81,93,7.45,overcast clouds
251,Onega,RU,63.9061,38.1404,41.47,89,96,7.11,overcast clouds
252,Tura,IN,25.5198,90.2201,75.45,89,100,3.51,overcast clouds
253,Lompoc,US,34.6391,-120.4579,99.79,56,0,13.8,clear sky
254,Tynaarlo,NL,53.0775,6.6167,62.89,88,88,3.44,overcast clouds
255,Contamana,PE,-7.3333,-75.0167,83.28,41,10,3.62,clear sky
256,Goya,AR,-29.14,-59.2626,65.71,49,18,8.84,few clouds
257,Tessalit,ML,20.1986,1.0114,93.31,14,3,7.49,clear sky
258,Martapura,ID,-3.4167,114.85,77.52,88,100,0.85,overcast clouds
259,Ucluelet,CA,48.9329,-125.5528,67.08,71,1,5.01,clear sky
260,Dvinskoy,RU,62.1535,45.1175,33.22,96,39,5.12,scattered clouds
261,Mogadishu,SO,2.0371,45.3438,75.25,85,23,16.31,few clouds
262,Prince George,CA,53.9166,-122.753,60.26,70,75,8.05,broken clouds
263,Saint Augustine,US,29.8947,-81.3145,87.06,77,0,8.05,clear sky
264,Bengkulu,ID,-3.8004,102.2655,73.81,87,100,4.79,overcast clouds
265,Chicama,PE,-7.8447,-79.1469,59.54,79,68,7.27,broken clouds
266,Sibu,MY,2.3,111.8167,73.71,94,20,3.44,few clouds
267,Teya,RU,60.3778,92.6267,51.91,88,77,16.96,broken clouds
268,Narsaq,GL,60.9167,-46.05,46.62,82,52,3.38,broken clouds
269,Kolyshley,RU,52.7005,44.5367,43.99,63,92,6.58,light rain
270,Santa Cruz,BO,-17.8,-63.1667,80.65,44,0,19.57,smoke
271,Baykit,RU,61.67,96.37,48.24,99,100,4.79,overcast clouds
272,Coihaique,CL,-45.5752,-72.0662,35.55,87,100,2.3,overcast clouds
273,Algiers,DZ,36.7525,3.042,75.02,73,40,4.61,scattered clouds
274,Puerto Palomas,MX,31.7667,-107.6167,84.51,24,100,10.18,overcast clouds
275,Mbandaka,CD,0.0487,18.2603,74.08,77,76,1.9,broken clouds
276,Rio Grande,BR,-32.035,-52.0986,60.94,85,86,6.17,overcast clouds
277,Moche,PE,-8.1711,-79.0092,60.98,88,100,8.05,fog
278,Hambantota,LK,6.1241,81.1185,78.04,82,100,17.34,moderate rain
279,Andra,RU,62.5147,65.8878,37.36,96,94,3.02,overcast clouds
280,Rocha,UY,-34.4833,-54.3333,57.81,90,0,4.76,clear sky
281,Khandbari,NP,27.3747,87.2039,71.64,91,93,1.41,overcast clouds
282,Quelimane,MZ,-17.8786,36.8883,68.38,82,0,4.16,clear sky
283,Manono,CD,-7.3,27.4167,74.86,26,5,4.36,clear sky
284,San Vicente,AR,-26.6167,-54.1333,56.26,98,37,2.53,scattered clouds
285,Baruun-Urt,MN,46.6806,113.2792,67.77,35,2,2.89,clear sky
286,Semirom,IR,31.4167,51.5667,61.32,52,8,1.01,clear sky
287,Boende,CD,-0.2167,20.8667,76.05,74,75,1.86,broken clouds
288,Hirara,JP,24.8,125.2833,80.46,78,40,20.71,scattered clouds
289,Awjilah,LY,29.1081,21.2869,74.41,46,0,10.25,clear sky
290,Madimba,TZ,-10.4,40.3333,69.03,89,2,8.63,clear sky
291,Broome,US,42.2506,-75.833,67.69,90,20,3.44,few clouds
292,Japura,ID,-0.3167,102.35,72.28,93,100,1.48,overcast clouds
293,Safford,US,32.834,-109.7076,94.12,20,0,10.36,clear sky
294,Berdigestyakh,RU,62.0989,126.6992,45.09,75,100,14.47,overcast clouds
295,Barkly West,ZA,-28.5354,24.5215,51.08,31,0,11.36,clear sky
296,Requena,ES,39.4883,-1.1004,74.52,30,90,6.58,overcast clouds
297,Hoopstad,ZA,-27.8327,25.9083,57.61,57,0,8.86,clear sky
298,Santa Barbara,US,34.7333,-120.0343,95.31,27,0,9.22,clear sky
299,Gap,FR,44.6667,6.0,51.84,91,99,1.32,moderate rain
300,Salinas,US,36.6777,-121.6555,104.56,52,0,14.97,clear sky
301,Bilma,NE,18.6853,12.9164,91.53,27,12,2.64,few clouds
302,Ilulissat,GL,69.2167,-51.1,39.22,87,75,1.14,broken clouds
303,Tommot,RU,58.9564,126.2925,43.0,88,97,11.56,overcast clouds
304,Scarborough,GB,54.2797,-0.4044,58.33,91,91,5.19,overcast clouds
305,Umm Lajj,SA,25.0213,37.2685,84.09,56,0,12.5,clear sky
306,Port Augusta,AU,-32.5,137.7667,58.35,69,46,13.65,moderate rain
307,Parry Sound,CA,45.3501,-80.033,71.65,53,0,5.37,clear sky
308,Soloneshnoye,RU,51.6544,84.3197,56.77,49,98,3.98,overcast clouds
309,Rio Gallegos,AR,-51.6226,-69.2181,37.45,56,0,11.5,clear sky
310,Kapit,MY,2.0167,112.9333,75.18,96,71,0.63,broken clouds
311,Berlevag,NO,70.8578,29.0864,48.2,92,100,22.15,overcast clouds
312,Viedma,AR,-40.8135,-62.9967,47.89,75,100,16.26,overcast clouds
313,The Pas,CA,53.8251,-101.2541,75.22,35,0,14.97,clear sky
314,Kuryk,KZ,43.2,51.65,63.66,46,80,9.8,broken clouds
315,Airai,TL,-8.9266,125.4092,70.93,29,96,2.39,overcast clouds
316,Muli,MV,2.9167,73.5667,81.39,77,91,14.27,overcast clouds
317,Sokoto,NG,13.0609,5.239,72.64,87,98,6.46,light rain
318,Hobart,AU,-42.8794,147.3294,55.06,83,75,6.91,broken clouds
319,Port Hawkesbury,CA,45.6169,-61.3485,62.19,88,75,4.61,broken clouds
320,Teknaf,BD,20.8624,92.3058,79.5,89,99,3.71,overcast clouds
321,Olafsvik,IS,64.8945,-23.7142,52.36,78,37,3.47,scattered clouds
322,Monastyrshchina,RU,54.3496,31.838,40.59,96,78,6.29,broken clouds
323,Urozhaynoye,RU,44.7883,44.9228,53.89,77,30,2.59,scattered clouds
324,Balc,RO,47.2833,22.5333,65.91,70,79,5.06,broken clouds
325,Klaksvik,FO,62.2266,-6.589,58.12,98,71,17.05,light rain
326,Qingdao,CN,36.0986,120.3719,69.4,78,0,0.0,clear sky
327,Ust-Maya,RU,60.4167,134.5333,42.03,95,100,12.75,light rain
328,Mangai,CD,-4.05,19.5333,74.26,79,57,1.1,broken clouds
329,Taoudenni,ML,22.6783,-3.9836,96.67,16,10,7.87,clear sky
330,Victoria,HK,22.2855,114.1577,86.25,78,97,5.01,overcast clouds
331,Acajutla,SV,13.5928,-89.8275,81.28,82,56,4.74,broken clouds
332,Iwanai,JP,42.9744,140.5089,70.52,56,0,5.35,clear sky
333,Shalyhyne,UA,51.5717,34.1217,44.96,57,94,8.46,overcast clouds
334,Ginir,ET,7.1333,40.7,60.37,78,28,7.9,light rain
335,Manta,EC,-0.95,-80.7333,71.38,78,100,18.41,overcast clouds
336,Hami,CN,42.8,93.45,76.64,13,3,7.49,clear sky
337,La Roda,ES,39.2167,-2.15,66.9,36,100,6.02,overcast clouds
338,Talnakh,RU,69.4865,88.3972,33.21,80,14,2.06,few clouds
339,Port Blair,IN,11.6667,92.75,75.24,100,100,1.14,mist
340,Camocim,BR,-2.9022,-40.8411,77.94,75,5,15.64,clear sky
341,Guerrero Negro,MX,27.9769,-114.0611,78.13,77,92,24.07,overcast clouds
342,Makat,KZ,47.6469,53.3463,55.99,38,25,8.03,scattered clouds
343,Fort Walton Beach,US,30.4058,-86.6188,83.08,77,75,6.91,broken clouds
344,Aklavik,CA,68.2191,-135.0107,47.62,57,100,3.98,overcast clouds
345,Buraydah,SA,26.326,43.975,86.45,11,0,5.39,clear sky
346,San Francisco De Macoris,DO,19.2952,-70.2554,74.08,92,63,3.38,broken clouds
347,Aksarka,RU,66.5606,67.7975,29.97,86,49,4.97,scattered clouds
